#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.05,23,1.41,1.46,7.976,1
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.05,19,1.41,1.46,7.603,0
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.05,18,1.41,1.46,7.179,0
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.05,21,1.41,1.47,18.79,0
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.05,19,1.36,1.41,15.12,0
9.24,52.98,1e0,1,1,5,264.9,138.566,0.00723648,3.54251,0.05,21,1.41,1.47,19.17,1
1.61,72.79,1e2,0.0176406,1.76406,5,363.95,184.685,0.0207693,2.43399,0.05,22,1.37,1.42,9.416,0
32.90,38.57,1e6,1.77778e-06,1.77778,5,192.85,128.228,0.00298191,3.7839,0.05,27,1.42,1.47,13.73,0
1.17,38.57,1e6,1.77778e-06,1.77778,5,192.85,98.9834,0.0465837,2.10218,0.05,18,1.36,1.41,12.58,0
9.24,32.90,1e0,1,1,5,164.5,88.9362,0.0115229,3.5029,0.05,20,1.41,1.47,20.28,1
10.83,62.10,1e0,1,1,5,310.5,162.08,0.00535853,3.60384,0.05,21,1.41,1.47,12.68,1
2.59,38.57,1e2,0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.05,21,1.4,1.45,7.916,0
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.05,17,1.36,1.41,15.6,1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.05,17,1.41,1.46,7.265,0
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.05,25,1.41,1.46,13.22,0
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.05,18,1.39,1.45,8.745,0
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.05,22,1.42,1.47,19.2,0
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.05,20,1.4,1.45,10.81,0
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.05,23,1.4,1.46,10.9,0
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.05,22,1.4,1.46,7.629,0
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.05,19,1.37,1.42,11.11,0
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.05,21,1.4,1.45,7.735,0
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.05,19,1.41,1.47,13.22,0
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.05,23,1.42,1.47,12.57,0
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.05,23,1.42,1.47,10.78,0
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.05,19,1.41,1.47,9.075,0
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.05,20,1.42,1.47,19.89,1
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.05,19,1.41,1.47,9.218,1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.05,21,1.41,1.47,8.992,0
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.05,21,1.4,1.45,8.213,0
4.18,38.57,1e2,0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.05,21,1.4,1.46,8.386,0
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.05,22,1.42,1.47,10.28,1
5.74,32.90,1e-6,2.28571e-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.05,21,1.41,1.46,9.083,0
1.89,52.98,1e-2,0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.05,21,1.39,1.44,10.3,0
2.59,45.20,1e0,1,1,5,226,116.065,0.024117,2.82333,0.05,23,1.4,1.45,9.838,0
1.61,2.21,1e4,0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.05,16,1.43,1.48,6.907,0
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.05,19,1.41,1.47,7.704,0
3.04,7.88,1e-6,2.28571e-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.05,19,1.41,1.46,6.992,0
1.00,23.95,1e0,1,1,5,119.75,62.375,0.0801603,1.91984,0.05,19,1.36,1.41,17.9,0
28.07,38.57,1e0,1,1,5,192.85,121.372,0.00347735,3.76479,0.05,21,1.42,1.47,11.26,0
4.89,9.24,1e-6,2.28571e-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.05,19,1.41,1.46,7.2,0
62.10,100.00,1e2,0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.05,23,1.42,1.47,10.34,0
17.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.05,23,1.42,1.47,19.21,0
1.89,20.43,1e-6,2.28571e-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.05,20,1.39,1.44,10.89,0
10.83,32.90,1e2,0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.05,20,1.41,1.47,18.23,0
23.95,85.32,1e-6,2.28571e-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.05,25,1.42,1.47,13.92,1
5.74,14.87,1e-2,0.022567,2.2567,5,74.35,42.3577,0.0373958,3.19188,0.05,20,1.41,1.47,10.22,0
2.21,32.90,1e-4,0.000228542,2.28542,5,164.5,85.1813,0.0367583,2.67266,0.05,22,1.39,1.45,9.871,1
9.24,32.90,1e4,0.000177764,1.77764,5,164.5,88.9362,0.0115229,3.5029,0.05,20,1.41,1.47,20.06,0
5.74,6.72,1e6,1.77778e-06,1.77778,5,33.6,23.5868,0.0768746,2.96527,0.05,19,1.41,1.47,9.848,0
2.59,5.74,1e2,0.0176406,1.76406,5,28.7,17.7429,0.165312,2.45763,0.05,18,1.41,1.46,9.061,0
2.59,23.95,1e2,0.0176406,1.76406,5,119.75,62.9749,0.0446576,2.77013,0.05,21,1.4,1.45,8.467,0
1.17,14.87,1e2,0.0176406,1.76406,5,74.35,39.7334,0.116151,2.02079,0.05,17,1.36,1.41,10.36,0
3.04,85.32,1e0,1,1,5,426.6,216.51,0.0114701,2.97503,0.05,22,1.4,1.45,11.73,0
3.56,10.83,1e6,1.77778e-06,1.77778,5,54.15,30.8794,0.0741499,2.85883,0.05,19,1.41,1.46,9.609,0
2.59,32.90,1e-6,2.28571e-06,2.28571,5,164.5,85.3291,0.0328674,2.80067,0.05,23,1.4,1.45,8.7,0
1.37,17.43,1e4,0.000177764,1.77764,5,87.15,46.2035,0.091577,2.18678,0.05,19,1.36,1.41,9.077,0
6.72,7.88,1e-4,0.000228542,2.28542,5,39.4,27.384,0.0583485,3.08976,0.05,23,1.41,1.47,7.89,0
5.74,100.00,1e-6,2.28571e-06,2.28571,5,500,254.221,0.00587596,3.3728,0.05,21,1.41,1.46,7.081,1
14.87,72.79,1e0,1,1,5,363.95,190.895,0.00341575,3.69716,0.05,22,1.41,1.47,22.01,1
45.20,100.00,1e-2,0.022567,2.2567,5,500,280.732,0.000857229,3.87467,0.05,21,1.42,1.47,10.48,1
1.61,100.00,1e2,0.0176406,1.76406,5,500,252.71,0.0151739,2.443,0.05,22,1.37,1.42,8.902,0
2.21,4.89,1e0,1,1,5,24.45,15.384,0.211563,2.28634,0.05,17,1.41,1.46,6.193,0
1.89,6.72,1e-4,0.000228542,2.28542,5,33.6,19.6887,0.179285,2.27707,0.05,19,1.4,1.46,9.092,0
4.18,14.87,1e6,1.77778e-06,1.77778,5,74.35,41.2265,0.0486579,3.02441,0.05,21,1.41,1.46,7.318,0
1.00,100.00,1e6,1.77778e-06,1.77778,5,500,252.5,0.019802,1.9802,0.05,18,1.36,1.41,9.488,1
2.59,32.90,1e0,1,1,5,164.5,85.3291,0.0328674,2.80067,0.05,23,1.4,1.45,8.594,0
1.89,3.04,1e-4,0.000228542,2.28542,5,15.2,10.6622,0.342595,1.96841,0.05,17,1.42,1.47,9.038,0
10.83,52.98,1e-6,2.28571e-06,2.28571,5,264.9,139.472,0.00626386,3.59404,0.05,22,1.41,1.47,17.16,1
1.89,14.87,1e-6,2.28571e-06,2.28571,5,74.35,40.0078,0.0872138,2.45108,0.05,21,1.39,1.45,9.792,0
23.95,100.00,1e-2,0.022567,2.2567,5,500,263.738,0.00158733,3.80166,0.05,26,1.42,1.47,18.53,0
4.89,12.69,1e6,1.77778e-06,1.77778,5,63.45,36.4023,0.0496068,3.07831,0.05,20,1.41,1.46,7.087,0
1.00,7.88,1e-6,2.28571e-06,2.28571,5,39.4,22.2,0.225225,1.77477,0.05,16,1.37,1.42,7.808,1
1.17,32.90,1e2,0.0176406,1.76406,5,164.5,84.8084,0.0543752,2.09306,0.05,18,1.36,1.41,15.8,1
1.17,23.95,1e0,1,1,5,119.75,62.4334,0.0738805,2.07024,0.05,20,1.36,1.41,15.62,0
14.87,100.00,1e-2,0.022567,2.2567,5,500,258.41,0.00249552,3.71084,0.05,22,1.41,1.47,10.6,0
4.89,14.87,1e-6,2.28571e-06,2.28571,5,74.35,41.7111,0.0427925,3.11163,0.05,21,1.41,1.46,10.7,0
1.89,52.98,1e2,0.0176406,1.76406,5,264.9,135.256,0.0256407,2.56746,0.05,20,1.39,1.44,7.528,0
1.89,62.10,1e2,0.0176406,1.76406,5,310.5,158.056,0.0219348,2.57446,0.05,19,1.39,1.44,8.94,1
2.21,52.98,1e6,1.77778e-06,1.77778,5,264.9,135.371,0.0230846,2.70288,0.05,20,1.39,1.45,7.236,0
4.18,14.87,1e0,1,1,5,74.35,41.2265,0.0486579,3.02441,0.05,20,1.41,1.46,6.492,0
2.59,28.07,1e-4,0.000228542,2.28542,5,140.35,73.2639,0.0383284,2.78652,0.05,23,1.4,1.45,8.9,0
5.74,10.83,1e-2,0.022567,2.2567,5,54.15,32.7203,0.0501667,3.11857,0.05,20,1.41,1.47,7.347,0
4.18,100.00,1e-4,0.000228542,2.28542,5,500,253.622,0.00764555,3.19584,0.05,22,1.4,1.45,8.729,1
2.21,3.04,1e-2,0.022567,2.2567,5,15.2,10.9962,0.308442,2.07224,0.05,19,1.42,1.47,6.673,0
20.43,38.57,1e-2,0.022567,2.2567,5,192.85,112.29,0.00471706,3.71698,0.05,26,1.42,1.47,10.52,0
1.37,72.79,1e0,1,1,5,363.95,184.602,0.0228725,2.2809,0.05,22,1.36,1.41,15.56,0
12.69,23.95,1e4,0.000177764,1.77764,5,119.75,70.3526,0.0117108,3.55921,0.05,20,1.41,1.47,19.26,0
