#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.075,19,1.43,1.48,6.839,1
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.1,20,1.44,1.5,7,1
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.05,23,1.41,1.46,7.976,1
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.025,25,1.4,1.46,9.362,0
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.1,-1,-1,-1,-1,-1
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.075,-1,-1,-1,-1,-1
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.025,23,1.37,1.42,9.147,-1
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.05,19,1.41,1.46,7.603,-1
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.075,15,1.44,1.5,6.091,-1
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.025,21,1.39,1.44,7.857,-1
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.05,18,1.41,1.46,7.179,-1
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.1,-1,-1,-1,-1,-1
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.025,23,1.41,1.47,22.44,-1
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.1,-1,-1,-1,-1,-1
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.075,18,1.43,1.49,21.29,-1
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.05,21,1.41,1.47,18.79,-1
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.075,17,1.43,1.48,14.3,-1
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.025,18,1.37,1.42,16.36,-1
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.05,19,1.36,1.41,15.12,-1
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.1,-1,-1,-1,-1,-1
9.24,52.98,1e0,1,1,5,264.9,138.566,0.00723648,3.54251,0.025,25,1.41,1.47,16.65,0
9.24,52.98,1e0,1,1,5,264.9,138.566,0.00723648,3.54251,0.1,18,1.44,1.5,11.32,1
9.24,52.98,1e0,1,1,5,264.9,138.566,0.00723648,3.54251,0.05,21,1.41,1.47,19.17,1
