%labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst,Pred,Pr -1,Pr 0,Pr 1
1,1,1,3.04,2.19924,0.308442,2.07224,0.075,-1,-1,-1,-1,-1,-1,0.976091,0,0.0239092
1,1,1,3.04,2.19924,0.308442,2.07224,0.005,33,1.04,1.07,18.16,0,0,0,0.879865,0.120135
1,1,1,3.04,2.19924,0.308442,2.07224,0,26,1.03,1.07,15,1,1,0,0.198902,0.801098
1,1,1,3.04,2.19924,0.308442,2.07224,0.01,33,1.04,1.07,16.48,0,0,0,0.807326,0.192674
1,1,1,3.04,2.19924,0.308442,2.07224,0.025,23,1.12,1.16,13.9,1,1,0,0.155154,0.844846
1,1,1,3.04,2.19924,0.308442,2.07224,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,3.04,2.19924,0.308442,2.07224,0.1,-1,-1,-1,-1,-1,-1,0.95246,0,0.0475397
1,1,1,3.04,2.19924,0.308442,2.07224,0.001,33,1.04,1.07,19.24,0,0,0,0.930728,0.0692716
1,1,1,7.88,4.54911,0.140327,2.44377,0.001,49,1.04,1.07,44.13,0,0,0,0.951847,0.0481533
1,1,1,7.88,4.54911,0.140327,2.44377,0,50,1.03,1.07,33.57,0,0,0,0.857245,0.142755
1,1,1,7.88,4.54911,0.140327,2.44377,0.075,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,7.88,4.54911,0.140327,2.44377,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,7.88,4.54911,0.140327,2.44377,0.025,21,1.12,1.16,20.62,1,1,0.0517852,0.0469038,0.901311
1,1,1,7.88,4.54911,0.140327,2.44377,0.1,-1,-1,-1,-1,-1,-1,0.976748,0,0.0232517
1,1,1,7.88,4.54911,0.140327,2.44377,0.005,39,1.06,1.1,32.28,0,0,0,0.870196,0.129804
1,1,1,7.88,4.54911,0.140327,2.44377,0.01,26,1.08,1.12,18.91,1,1,0,0.284921,0.715079
1,1,1,62.1,31.6942,0.015691,2.9622,0.1,-1,-1,-1,-1,-1,-1,0.949873,0,0.0501274
1,1,1,62.1,31.6942,0.015691,2.9622,0.075,-1,-1,-1,-1,-1,-1,0.928552,0,0.0714477
1,1,1,62.1,31.6942,0.015691,2.9622,0.001,67,1.09,1.13,45.93,0,0,0,0.906311,0.0936891
1,1,1,62.1,31.6942,0.015691,2.9622,0.05,-1,-1,-1,-1,-1,-1,0.953426,0,0.0465737
1,1,1,62.1,31.6942,0.015691,2.9622,0,153,1.03,1.07,144.9,0,0,0,0.906311,0.0936891
1,1,1,62.1,31.6942,0.015691,2.9622,0.025,37,1.12,1.16,20.93,1,1,0,0.0515897,0.94841
1,1,1,62.1,31.6942,0.015691,2.9622,0.01,33,1.1,1.15,15.72,1,1,0,0.0712119,0.928788
1,1,1,62.1,31.6942,0.015691,2.9622,0.005,37,1.1,1.14,22.65,1,1,0,0.136388,0.863612
1,1,1,5.74,3.87544,0.11457,2.7489,0.075,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,5.74,3.87544,0.11457,2.7489,0,41,1.03,1.07,20.53,0,0,0,0.520262,0.479738
1,1,1,5.74,3.87544,0.11457,2.7489,0.001,40,1.04,1.07,21.78,1,0,0,1,0
1,1,1,5.74,3.87544,0.11457,2.7489,0.005,39,1.04,1.08,20.92,1,0,0,0.516121,0.483879
1,1,1,5.74,3.87544,0.11457,2.7489,0.05,-1,-1,-1,-1,-1,-1,0.976091,0,0.0239092
1,1,1,5.74,3.87544,0.11457,2.7489,0.01,32,1.07,1.11,16.88,1,1,0,0.132087,0.867913
