#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.17,85.32,1e-4,0.000228542,2.28542,5,426.6,215.858,0.0213545,2.1317,0.075,18,1.4,1.45,14.48, 0.9959
38.57,62.10,1e6,1.77778e-06,1.77778,5,310.5,186.145,0.00160201,3.83712,0.025,24,1.42,1.48,20.07, 0.7083
52.98,62.10,1e6,1.77778e-06,1.77778,5,310.5,205.558,0.00117435,3.86368,0.025,21,1.42,1.48,10.46, 0.8095
1.17,1.89,1e6,1.77778e-06,1.77778,5,9.45,7.30343,0.637826,1.41043,0.05,15,1.42,1.47,11.13,-0.0270
12.69,32.90,1e0,1,1,5,164.5,91.567,0.008619,3.59844,0.1,18,1.44,1.5,16.44, 0.9920
20.43,28.07,1e4,0.000177764,1.77764,5,140.35,88.7497,0.00642085,3.68217,0.1,-1,-1,-1,-1, 1.0000
9.24,28.07,1e2,0.0176406,1.76406,5,140.35,77.1246,0.0134374,3.48521,0.005,71,1.3,1.35,57.92, 0.2397
52.98,100.00,1e-4,0.000228542,2.28542,5,500,288.539,0.000733678,3.88703,0.001,113,1.33,1.38,62.4, 0.1766
3.56,17.43,1e-6,2.28571e-06,2.28571,5,87.15,47.1936,0.0475959,2.95337,0.025,24,1.39,1.44,9.874,-0.0171
10.83,12.69,1e-4,0.000228542,2.28542,5,63.45,43.1988,0.0246986,3.39439,0.001,103,1.2,1.24,133.3,-0.0043
2.59,3.56,1e-4,0.000228542,2.28542,5,17.8,12.6086,0.244343,2.25294,0.005,51,1.17,1.21,21.9,-0.0089
10.83,12.69,1e-6,2.28571e-06,2.28571,5,63.45,43.1988,0.0246986,3.39439,0.075,19,1.43,1.49,21.55,-0.0211
4.89,6.72,1e-6,2.28571e-06,2.28571,5,33.6,22.4163,0.0879685,2.89072,0,100,1.03,1.07,54.78,-0.0048
1.00,1.89,1e-2,0.022567,2.2567,5,9.45,7.225,0.692042,1.30796,0.075,16,1.48,1.53,5.566, 0.9605
1.17,45.20,1e0,1,1,5,226,115.558,0.0398987,2.11,0.01,59,1.11,1.16,40.36,-0.0078
3.04,6.72,1e-2,0.022567,2.2567,5,33.6,20.4756,0.128251,2.62002,0.1,-1,-1,-1,-1, 1.0000
23.95,45.20,1e0,1,1,5,226,131.32,0.00347014,3.75657,0.001,103,1.29,1.33,62.81, 0.1860
4.89,6.72,1e4,0.000177764,1.77764,5,33.6,22.4163,0.0879685,2.89072,0.01,49,1.29,1.34,18.4,-0.0087
1.61,4.89,1e2,0.0176406,1.76406,5,24.45,14.992,0.260198,2.04851,0.1,-1,-1,-1,-1, 1.0000
1.37,17.43,1e0,1,1,5,87.15,46.2035,0.091577,2.18678,0.1,-1,-1,-1,-1, 1.0000
7.88,20.43,1e4,0.000177764,1.77764,5,102.15,57.5278,0.0210196,3.38391,0,143,1.03,1.07,81.16,-0.0034
3.04,17.43,1e4,0.000177764,1.77764,5,87.15,46.9218,0.0537221,2.84659,0.001,96,1.09,1.14,54.65,-0.0049
14.87,45.20,1e-6,2.28571e-06,2.28571,5,226,123.081,0.00545558,3.66683,0.025,24,1.42,1.47,18.66, 0.8435
2.21,10.83,1e-2,0.022567,2.2567,5,54.15,30.0764,0.105334,2.52111,0.01,53,1.25,1.3,21.05,-0.0082
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.01,55,1.32,1.37,28.04,-0.0077
1.17,2.21,1e4,0.000177764,1.77764,5,11.05,8.09748,0.574242,1.48482,0.05,15,1.41,1.46,14.62,-0.0271
1.37,45.20,1e6,1.77778e-06,1.77778,5,226,115.627,0.0365317,2.26219,0.001,57,1.1,1.14,66.08, 0.3050
3.56,32.90,1e6,1.77778e-06,1.77778,5,164.5,85.7354,0.0258759,3.03069,0.001,108,1.1,1.14,61.21,-0.0043
4.18,45.20,1e-4,0.000228542,2.28542,5,226,116.706,0.0167143,3.15793,0.075,19,1.43,1.48,6.964,-0.0212
1.17,1.61,1e2,0.0176406,1.76406,5,8.05,6.61377,0.706252,1.33037,0.01,40,1.11,1.15,27.31,-0.0116
5.74,72.79,1e0,1,1,5,363.95,186.253,0.00804271,3.36036,0.1,-1,-1,-1,-1, 1.0000
10.83,17.43,1e-4,0.000228542,2.28542,5,87.15,53.3911,0.0183464,3.46319,0.01,54,1.33,1.38,53.7,-0.0078
7.88,62.10,1e0,1,1,5,310.5,160.551,0.00713868,3.4933,0,168,1.03,1.07,227.5, 0.1284
7.88,14.87,1e6,1.77778e-06,1.77778,5,74.35,44.3065,0.0283838,3.32589,0.001,105,1.18,1.23,76.11,-0.0043
1.00,12.69,1e4,0.000177764,1.77764,5,63.45,34.225,0.146092,1.85391,0.025,15,1.39,1.44,11.56, 1.0000
3.56,4.89,1e-2,0.022567,2.2567,5,24.45,16.7367,0.148929,2.59262,0.075,-1,-1,-1,-1, 1.0000
4.18,12.69,1e2,0.0176406,1.76406,5,63.45,35.8707,0.0564062,2.99202,0.05,20,1.41,1.46,7.379,-0.0203
32.90,100.00,1e4,0.000177764,1.77764,5,500,270.121,0.00116826,3.84357,0.001,107,1.31,1.36,87.08, 0.1670
3.04,20.43,1e-2,0.022567,2.2567,5,102.15,54.3948,0.0462015,2.86945,0.01,56,1.27,1.32,33.95,-0.0077
4.18,5.74,1e6,1.77778e-06,1.77778,5,28.7,19.3772,0.11457,2.7489,0.005,58,1.22,1.27,22.34,-0.0076
14.87,100.00,1e-2,0.022567,2.2567,5,500,258.41,0.00249552,3.71084,0.05,22,1.41,1.47,10.6, 0.7821
2.21,7.88,1e-4,0.000228542,2.28542,5,39.4,22.7456,0.140327,2.44377,0.1,-1,-1,-1,-1, 1.0000
4.89,62.10,1e0,1,1,5,310.5,159.203,0.0107626,3.26825,0.025,28,1.4,1.45,11.18,-0.0146
6.72,12.69,1e2,0.0176406,1.76406,5,63.45,38.0488,0.0378477,3.22753,0.1,-1,-1,-1,-1, 1.0000
1.37,7.88,1e4,0.000177764,1.77764,5,39.4,22.3357,0.190063,2.05185,0.01,53,1.15,1.2,36.83,-0.0086
7.88,52.98,1e-2,0.022567,2.2567,5,264.9,137.845,0.00834477,3.48379,0.025,24,1.41,1.46,12.44, 0.7199
3.56,10.83,1e4,0.000177764,1.77764,5,54.15,30.8794,0.0741499,2.85883,0.005,63,1.23,1.27,31.77,-0.0070
3.04,72.79,1e-2,0.022567,2.2567,5,363.95,185.191,0.0134178,2.96911,0.075,16,1.42,1.48,7.592, 1.0000
1.00,5.74,1e6,1.77778e-06,1.77778,5,28.7,16.85,0.296736,1.70326,0.001,73,1.07,1.1,36.56, 0.2368
10.83,72.79,1e6,1.77778e-06,1.77778,5,363.95,188.641,0.00458224,3.61225,0.01,53,1.33,1.38,40.54, 0.3146
3.04,5.74,1e0,1,1,5,28.7,18.1302,0.146899,2.56333,0.005,62,1.2,1.24,26.24,-0.0072
5.74,6.72,1e0,1,1,5,33.6,23.5868,0.0768746,2.96527,0.01,46,1.3,1.34,16.68,-0.0093
72.79,100.00,1e2,0.0176406,1.76406,5,500,312.261,0.000536712,3.90672,0.01,58,1.35,1.41,40.43, 0.3016
1.37,9.24,1e-4,0.000228542,2.28542,5,46.2,25.7336,0.164821,2.08643,0.05,19,1.37,1.42,17.24,-0.0217
1.37,10.83,1e-4,0.000228542,2.28542,5,54.15,29.7068,0.142668,2.11678,0.025,18,1.37,1.42,14.6,-0.0230
1.17,1.89,1e2,0.0176406,1.76406,5,9.45,7.30343,0.637826,1.41043,0.005,43,1.07,1.11,38.2,-0.0110
2.21,2.59,1e-6,2.28571e-06,2.28571,5,12.95,10.0124,0.347105,1.98679,0.005,49,1.14,1.18,20.6,-0.0094
3.04,4.18,1e4,0.000177764,1.77764,5,20.9,14.5296,0.191139,2.42884,0,83,1.03,1.07,36.64,-0.0058
2.59,7.88,1e4,0.000177764,1.77764,5,39.4,22.9778,0.125474,2.56082,0.005,63,1.19,1.24,26.32,-0.0071
1.00,1.61,1e6,1.77778e-06,1.77778,5,8.05,6.525,0.766284,1.23372,0.05,15,1.41,1.46,5.945,-0.0271
17.43,100.00,1e2,0.0176406,1.76406,5,500,259.795,0.00214889,3.74551,0.1,16,1.44,1.5,9.936, 0.9920
