#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,Stretch_max,Stretch_min,Stretch_mean,diag_rat_max,diag_rat_min,diag_rat_mean,inv_tap_max,inv_tap_min,inv_tap_mean,skew_max,skew_min,skew_mean,_DROP_TOL_,CostEst
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0,0
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.1,1
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.005,0
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.025,1
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.01,0
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.075,1
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.001,0
2.28571E-06,2.28571,5,264.9,142.079,0.00466928,3.67852,0.242536,0.00629521,0.0245505,1,1,1,1,1,1,0,0,0,0.05,1
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.025,1
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.075,1
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.01,0
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.005,0
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.1,-1
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.05,1
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0.001,0
0.000177764,1.77764,5,74.35,39.8044,0.106349,2.16654,0.242536,0.0231956,0.0774017,1,1,1,1,1,1,0,0,0,0,0
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.075,1
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.005,0
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.025,1
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0,0
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.01,0
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.001,0
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.1,-1
0.0176406,1.76406,5,28.7,16.9919,0.25041,1.96917,0.242536,0.0586677,0.1183,1,1,1,1,1,1,0,0,0,0.05,1
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.05,0
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.1,-1
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.005,0
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.075,1
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.025,0
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.01,0
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0,0
1.77778E-06,1.77778,5,140.35,88.7497,0.00642085,3.68217,0.242536,0.00997778,0.0282135,1,1,1,1,1,1,0,0,0,0.001,0
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.05,1
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.075,1
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.001,0
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.1,-1
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0,0
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.01,0
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.005,0
0.0176406,1.76406,5,39.4,22.2593,0.207581,1.91381,0.242536,0.0434703,0.104986,1,1,1,1,1,1,0,0,0,0.025,1
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.005,0
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.1,1
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.05,1
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.01,0
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.001,0
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0,0
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.025,1
0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.242536,0.0110039,0.0299389,1,1,1,1,1,1,0,0,0,0.075,-1
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.005,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.01,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.1,-1
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.001,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.05,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.025,0
1.77778E-06,1.77778,5,102.15,68.6276,0.0101277,3.60644,0.242536,0.0128989,0.033623,1,1,1,1,1,1,0,0,0,0.075,1
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.001,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.05,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.01,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.025,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.005,0
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.1,1
2.28571E-06,2.28571,5,426.6,216.51,0.0114701,2.97503,0.242536,0.00405754,0.0341964,1,1,1,1,1,1,0,0,0,0.075,1
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.001,0
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.075,1
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.1,1
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.05,1
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.005,0
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.025,1
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0,0
2.28571E-06,2.28571,5,11.05,8.025,0.623053,1.37695,0.242536,0.142324,0.187412,1,1,1,1,1,1,0,0,0,0.01,0
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0,0
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.025,1
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.05,1
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.1,1
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.001,0
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.01,0
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.075,1
2.28571E-06,2.28571,5,500,270.121,0.00116826,3.84357,0.242536,0.00329058,0.0153603,1,1,1,1,1,1,0,0,0,0.005,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.01,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.005,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.05,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.001,0
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.075,1
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.1,1
0.000177764,1.77764,5,310.5,160.004,0.00821133,3.42669,0.242536,0.00554586,0.029622,1,1,1,1,1,1,0,0,0,0.025,0
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.05,1
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.075,-1
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.001,0
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.1,-1
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0,0
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.01,0
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.005,0
0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.242536,0.0168831,0.0637779,1,1,1,1,1,1,0,0,0,0.025,1
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.05,1
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.075,1
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.001,0
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.1,-1
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0,0
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.01,0
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.005,0
1.77778E-06,1.77778,5,39.4,23.7028,0.098783,2.77114,0.242536,0.0400513,0.0830952,1,1,1,1,1,1,0,0,0,0.025,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.05,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.1,1
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.005,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.075,1
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.025,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.01,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0,0
0.0176406,1.76406,5,363.95,227.706,0.00100422,3.87269,0.242536,0.00384774,0.0147522,1,1,1,1,1,1,0,0,0,0.001,0
0.000177764,1.77764,5,15.2,10.1658,0.456267,1.62285,0.242536,0.106146,0.16039,1,1,1,1,1,1,0,0,0,0,0
0.000177764,1.77764,5,15.2,10.1658,0.456267,1.62285,0.242536,0.106146,0.16039,1,1,1,1,1,1,0,0,0,0.075,1
0.000177764,1.77764,5,15.2,10.1658,0.456267,1.62285,0.242536,0.106146,0.16039,1,1,1,1,1,1,0,0,0,0.01,0
0.000177764,1.77764,5,15.2,10.1658,0.456267,1.62285,0.242536,0.106146,0.16039,1,1,1,1,1,1,0,0,0,0.005,0
