#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.075,-1,-1,-1,-1,-1
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.005,33,1.04,1.07,18.16,0
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0,26,1.03,1.07,15,1
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.01,33,1.04,1.07,16.48,0
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.025,23,1.12,1.16,13.9,1
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.05,-1,-1,-1,-1,-1
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.1,-1,-1,-1,-1,-1
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.001,33,1.04,1.07,19.24,0
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.001,49,1.04,1.07,44.13,0
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0,50,1.03,1.07,33.57,0
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.075,-1,-1,-1,-1,-1
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.05,-1,-1,-1,-1,-1
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.025,21,1.12,1.16,20.62,1
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.1,-1,-1,-1,-1,-1
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.005,39,1.06,1.1,32.28,0
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.01,26,1.08,1.12,18.91,1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.1,-1,-1,-1,-1,-1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.075,-1,-1,-1,-1,-1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.001,67,1.09,1.13,45.93,0
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.05,-1,-1,-1,-1,-1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0,153,1.03,1.07,144.9,0
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.025,37,1.12,1.16,20.93,1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.01,33,1.1,1.15,15.72,1
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.005,37,1.1,1.14,22.65,1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.075,-1,-1,-1,-1,-1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0,41,1.03,1.07,20.53,0
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.001,40,1.04,1.07,21.78,1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.005,39,1.04,1.08,20.92,1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.05,-1,-1,-1,-1,-1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.01,32,1.07,1.11,16.88,1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.1,-1,-1,-1,-1,-1
4.18,5.74,1e0,1,1,1,5.74,3.87544,0.11457,2.7489,0.025,-1,-1,-1,-1,-1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0,105,1.03,1.07,97.66,0
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.025,30,1.11,1.15,16.3,1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.075,-1,-1,-1,-1,-1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.005,30,1.1,1.14,17.51,1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.05,-1,-1,-1,-1,-1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.1,-1,-1,-1,-1,-1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.01,30,1.1,1.14,17.86,1
1.17,32.90,1e0,1,1,1,32.9,16.9617,0.0543752,2.09306,0.001,51,1.08,1.12,34.29,0
1.37,12.69,1e0,1,1,1,12.69,6.87109,0.123284,2.14334,0.01,25,1.09,1.13,11.64,1
1.37,12.69,1e0,1,1,1,12.69,6.87109,0.123284,2.14334,0,68,1.03,1.07,42.1,0
1.37,12.69,1e0,1,1,1,12.69,6.87109,0.123284,2.14334,0.075,-1,-1,-1,-1,-1
